Batter,Game,AB#,Umpire,Ground,Home,Order,Result,Direction,Strt Case,End Case
Ken McKell,1,1,D.Massey,Pioneer,Yes,N/A,Single,6,N/A,N/A
Ken McKell,1,2,D.Massey,Pioneer,Yes,N/A,Single,5,N/A,N/A
Ken McKell,1,3,D.Massey,Pioneer,Yes,N/A,HBP,0,N/A,N/A
Ken McKell,1,4,D.Massey,0,Yes,N/A,0,0,N/A,N/A
Ken McKell,1,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Ken McKell,2,1,J.Dimmers,Pioneer,Yes,N/A,K2,0,N/A,N/A
Ken McKell,2,2,J.Dimmers,Pioneer,Yes,N/A,K2,0,N/A,N/A
Ken McKell,2,3,J.Dimmers,Pioneer,Yes,N/A,BB,0,N/A,N/A
Ken McKell,2,4,J.Dimmers,0,0,N/A,0,0,N/A,N/A
Ken McKell,2,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Ken McKell,3,1,J.Dimmers,Greenway 2,No,N/A,Single,5,N/A,N/A
Ken McKell,3,2,J.Dimmers,Greenway 2,No,N/A,Throw Out,5,N/A,N/A
Ken McKell,3,3,J.Dimmers,Greenway 2,No,N/A,BB,0,N/A,N/A
Ken McKell,3,4,J.Dimmers,Greenway 2,No,N/A,K2,0,N/A,N/A
Ken McKell,3,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Ken McKell,4,1,D. Massey,Northmead,Yes,N/A,K2,0,N/A,N/A
Ken McKell,4,2,D. Massey,Northmead,Yes,N/A,Single,5,N/A,N/A
Ken McKell,4,3,D. Massey,Northmead,Yes,N/A,Single,5,N/A,N/A
Ken McKell,4,4,D. Massey,Northmead,Yes,N/A,K2,0,N/A,N/A
Ken McKell,4,5,D. Massey,Northmead,Yes,N/A,BB,0,N/A,N/A
Ken McKell,5,1,J.Dimmers,Greenway 1,No,N/A,BB,0,N/A,N/A
Ken McKell,5,2,J.Dimmers,Greenway 1,No,N/A,Fly Out,1,N/A,N/A
Ken McKell,5,3,J.Dimmers,Greenway 1,No,N/A,Throw Out,3,N/A,N/A
Ken McKell,5,4,J.Dimmers,Greenway 1,No,N/A,DNB,0,N/A,N/A
Ken McKell,5,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Peter Won,1,1,D.Massey,Pioneer,Yes,N/A,Single,6,N/A,N/A
Peter Won,1,2,D.Massey,Pioneer,Yes,N/A,Fly Out,3,N/A,N/A
Peter Won,1,3,D.Massey,Pioneer,Yes,N/A,Single,8,N/A,N/A
Peter Won,1,4,D.Massey,0,Yes,N/A,0,0,N/A,N/A
Peter Won,1,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Peter Won,2,1,J.Dimmers,Pioneer,Yes,N/A,Single,8,N/A,N/A
Peter Won,2,2,J.Dimmers,Pioneer,Yes,N/A,BB,0,N/A,N/A
Peter Won,2,3,J.Dimmers,Pioneer,Yes,N/A,DNB,0,N/A,N/A
Peter Won,2,4,J.Dimmers,0,0,N/A,0,0,N/A,N/A
Peter Won,2,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Peter Won,3,1,J.Dimmers,Greenway 2,No,N/A,BB,0,N/A,N/A
Peter Won,3,2,J.Dimmers,Greenway 2,No,N/A,Double,7,N/A,N/A
Peter Won,3,3,J.Dimmers,Greenway 2,No,N/A,Throw Out,6,N/A,N/A
Peter Won,3,4,J.Dimmers,Greenway 2,No,N/A,DNB,0,N/A,N/A
Peter Won,3,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Peter Won,4,1,D. Massey,Northmead,Yes,N/A,Double,8,N/A,N/A
Peter Won,4,2,D. Massey,Northmead,Yes,N/A,Double,8,N/A,N/A
Peter Won,4,3,D. Massey,Northmead,Yes,N/A,Single,9,N/A,N/A
Peter Won,4,4,D. Massey,Northmead,Yes,N/A,Single,8,N/A,N/A
Peter Won,4,5,D. Massey,Northmead,Yes,N/A,Single,7,N/A,N/A
Peter Won,5,1,J.Dimmers,Greenway 1,No,N/A,K2,0,N/A,N/A
Peter Won,5,2,J.Dimmers,Greenway 1,No,N/A,Fly Out,8,N/A,N/A
Peter Won,5,3,J.Dimmers,Greenway 1,No,N/A,Throw Out,6,N/A,N/A
Peter Won,5,4,J.Dimmers,Greenway 1,No,N/A,DNB,0,N/A,N/A
Peter Won,5,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Rod Carroll,1,1,D.Massey,Pioneer,Yes,N/A,Fielders Choice,5,N/A,N/A
Rod Carroll,1,2,D.Massey,Pioneer,Yes,N/A,K2,3,N/A,N/A
Rod Carroll,1,3,D.Massey,Pioneer,Yes,N/A,Fielders Choice,6,N/A,N/A
Rod Carroll,1,4,D.Massey,0,Yes,N/A,0,0,N/A,N/A
Rod Carroll,1,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Rod Carroll,2,1,J.Dimmers,Pioneer,Yes,N/A,Double,7,N/A,N/A
Rod Carroll,2,2,J.Dimmers,Pioneer,Yes,N/A,Triple,9,N/A,N/A
Rod Carroll,2,3,J.Dimmers,Pioneer,Yes,N/A,DNB,0,N/A,N/A
Rod Carroll,2,4,J.Dimmers,0,0,N/A,0,0,N/A,N/A
Rod Carroll,2,5,#N/A,#N/A,#N/A,N/A,#N/A,#N/A,N/A,N/A
Rod Carroll,3,1,J.Dimmers,Greenway 2,No,N/A,Throw Out,5,N/A,N/A
Rod Carroll,3,2,J.Dimmers,Greenway 2,No,N/A,HBP,0,N/A,N/A
Rod Carroll,3,3,J.Dimmers,Greenway 2,No,N/A,Single,8,N/A,N/A
Rod Carroll,3,4,J.Dimmers,Greenway 2,No,N/A,DNB,0,N/A,N/A
