,Batter,Game,AB#,Umpire,Ground,Home,Order,Result,Direction,Strt Case,End Case,Season
0,1,1,1,1,1,Yes,,Single,6.0,,,2020
1,1,1,2,1,1,Yes,,Single,5.0,,,2020
2,1,1,3,1,1,Yes,,HBP,0.0,,,2020
5,1,2,1,2,1,Yes,,K2,0.0,,,2020
6,1,2,2,2,1,Yes,,K2,0.0,,,2020
7,1,2,3,2,1,Yes,,BB,0.0,,,2020
10,1,3,1,2,3,No,,Single,5.0,,,2020
11,1,3,2,2,3,No,,Throw Out,5.0,,,2020
12,1,3,3,2,3,No,,BB,0.0,,,2020
13,1,3,4,2,3,No,,K2,0.0,,,2020
15,1,4,1,1,4,Yes,,K2,0.0,,,2020
16,1,4,2,1,4,Yes,,Single,5.0,,,2020
17,1,4,3,1,4,Yes,,Single,5.0,,,2020
18,1,4,4,1,4,Yes,,K2,0.0,,,2020
19,1,4,5,1,4,Yes,,BB,0.0,,,2020
20,1,5,1,2,2,No,,BB,0.0,,,2020
21,1,5,2,2,2,No,,Fly Out,1.0,,,2020
22,1,5,3,2,2,No,,Throw Out,3.0,,,2020
25,2,1,1,1,1,Yes,,Single,6.0,,,2020
26,2,1,2,1,1,Yes,,Fly Out,3.0,,,2020
27,2,1,3,1,1,Yes,,Single,8.0,,,2020
30,2,2,1,2,1,Yes,,Single,8.0,,,2020
31,2,2,2,2,1,Yes,,BB,0.0,,,2020
35,2,3,1,2,3,No,,BB,0.0,,,2020
36,2,3,2,2,3,No,,Double,7.0,,,2020
37,2,3,3,2,3,No,,Throw Out,6.0,,,2020
40,2,4,1,1,4,Yes,,Double,8.0,,,2020
41,2,4,2,1,4,Yes,,Double,8.0,,,2020
42,2,4,3,1,4,Yes,,Single,9.0,,,2020
43,2,4,4,1,4,Yes,,Single,8.0,,,2020
44,2,4,5,1,4,Yes,,Single,7.0,,,2020
45,2,5,1,2,2,No,,K2,0.0,,,2020
46,2,5,2,2,2,No,,Fly Out,8.0,,,2020
47,2,5,3,2,2,No,,Throw Out,6.0,,,2020
50,3,1,1,1,1,Yes,,Fielders Choice,5.0,,,2020
51,3,1,2,1,1,Yes,,K2,3.0,,,2020
52,3,1,3,1,1,Yes,,Fielders Choice,6.0,,,2020
55,3,2,1,2,1,Yes,,Double,7.0,,,2020
56,3,2,2,2,1,Yes,,Triple,9.0,,,2020
60,3,3,1,2,3,No,,Throw Out,5.0,,,2020
61,3,3,2,2,3,No,,HBP,0.0,,,2020
62,3,3,3,2,3,No,,Single,8.0,,,2020
65,3,4,1,1,4,Yes,,Double,8.0,,,2020
66,3,4,2,1,4,Yes,,Single,9.0,,,2020
67,3,4,3,1,4,Yes,,Fly Out,5.0,,,2020
68,3,4,4,1,4,Yes,,BB,0.0,,,2020
75,4,1,1,1,1,Yes,,Fly Out,3.0,,,2020
