,Batter,Game,Hit,None,FC,Err,Out,Year,AB,CumHit,CumAB,BA
0,Ken McKell,1.0,0.0,2.0,0.0,0.0,1.0,2019.0,1.0,0.0,1.0,0.0
1,Ken McKell,2.0,2.0,1.0,0.0,0.0,2.0,2019.0,4.0,2.0,5.0,0.4
2,Ken McKell,3.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,2.0,5.0,0.4
3,Ken McKell,4.0,1.0,2.0,0.0,0.0,1.0,2019.0,2.0,3.0,7.0,0.429
4,Ken McKell,5.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,3.0,7.0,0.429
5,Ken McKell,6.0,2.0,2.0,0.0,0.0,0.0,2019.0,2.0,5.0,9.0,0.556
6,Ken McKell,7.0,1.0,1.0,0.0,0.0,0.0,2019.0,1.0,6.0,10.0,0.6
7,Ken McKell,8.0,1.0,3.0,0.0,0.0,0.0,2019.0,1.0,7.0,11.0,0.636
8,Ken McKell,9.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,7.0,11.0,0.636
9,Ken McKell,10.0,0.0,2.0,0.0,0.0,1.0,2019.0,1.0,7.0,12.0,0.583
10,Ken McKell,11.0,1.0,1.0,0.0,1.0,1.0,2019.0,3.0,8.0,15.0,0.533
11,Ken McKell,12.0,1.0,1.0,1.0,0.0,1.0,2019.0,3.0,9.0,18.0,0.5
12,Ken McKell,13.0,2.0,0.0,0.0,0.0,1.0,2019.0,3.0,11.0,21.0,0.524
13,Ken McKell,14.0,1.0,1.0,0.0,0.0,2.0,2019.0,3.0,12.0,24.0,0.5
14,Ken McKell,15.0,3.0,0.0,0.0,0.0,0.0,2019.0,3.0,15.0,27.0,0.556
15,Ken McKell,16.0,3.0,0.0,0.0,1.0,0.0,2019.0,4.0,18.0,31.0,0.581
16,Peter Won,1.0,0.0,1.0,0.0,0.0,1.0,2019.0,1.0,0.0,1.0,0.0
